,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"66,157,207","+630,265","1,522,918","+11,481","45,763,179","+386,474","18,871,110","106,098","8,487",195.4,
1,1,USA,"14,736,508","+199,245","285,280 ","+2,446","8,640,256","+78,772","5,810,972","26,158","44,410",860
2,2,India,"9,607,632","+35,852","139,714 ",+487,"9,057,282","+41,598","410,636","8,944","6,933",101
3,3,Brazil,"6,533,968","+46,452","175,964 ",+657,"5,744,369","+19,359","613,635","8,318","30,647",825
4,4,Russia,"2,402,949","+27,403","42,176 ",+569,"1,888,752","+28,901","472,021","2,300","16,463",289
5,5,France,"2,268,552","+11,221","54,767 ",+397,"168,352","+1,412","2,045,433","3,293","34,722",838
6,6,Spain,"1,699,145","+5,554","46,252 ",+214,N/A,N/A,N/A,"2,371","36,336",989
7,7,UK,"1,690,432","+16,298","60,617 ",+504,N/A,N/A,N/A,"1,261","24,846",891
8,8,Italy,"1,688,939","+24,099","58,852 ",+814,"872,385","+25,576","757,702","3,567","27,952",974
9,9,Argentina,"1,454,631","+6,899","39,512 ",+207,"1,281,955","+7,280","133,164","3,929","32,060",871
10,10,Colombia,"1,352,607","+9,285","37,467 ",+162,"1,240,990","+7,875","74,150","2,376","26,463",733
11,11,Germany,"1,152,283","+23,541","18,691 ",+431,"820,600","+20,600","312,992","4,011","13,734",223
12,12,Mexico,"1,144,643","+11,030","108,173 ",+608,"843,231","+6,664","193,239","3,377","8,839",835
13,13,Poland,"1,041,846","+13,239","19,359 ",+531,"666,413","+19,853","356,074","1,961","27,541",512
14,14,Iran,"1,016,835","+13,341","49,695 ",+347,"708,106","+8,791","259,034","5,824","12,041",588
15,15,Peru,"968,846",,"36,104 ",,"901,544",,"31,198",957,"29,212","1,089"
16,16,South Africa,"805,804","+4,932","21,963 ",+160,"740,450","+1,083","43,391",546,"13,515",368
17,17,Ukraine,"787,891","+15,131","13,195 ",+235,"397,809","+13,383","376,887",177,"18,062",302
18,18,Turkey,"765,997","+32,736","14,509 ",+193,"423,142","+4,811","328,346","5,703","9,041",171
19,19,Belgium,"584,857","+2,605","17,033 ",+122,"38,577",+316,"529,247",788,"50,371","1,467"
20,20,Indonesia,"563,680","+5,803","17,479 ",+124,"466,178","+3,625","80,023",,"2,052",64
21,21,Iraq,"560,622","+1,855","12,387 ",+26,"489,772","+1,909","58,463",256,"13,808",305
22,22,Chile,"557,135","+1,729","15,558 ",+39,"531,543","+1,073","10,034",683,"29,039",811
23,23,Netherlands,"543,924","+5,874","9,623 ",+58,N/A,N/A,N/A,488,"31,714",561
24,24,Czechia,"540,094","+2,431","8,718 ",+77,"468,812",+510,"62,564",586,"50,394",813
25,25,Romania,"500,273","+8,062","12,052 ",+176,"390,212","+9,211","98,009","1,275","26,080",628
26,26,Bangladesh,"473,991","+2,252","6,772 ",+24,"390,951","+2,572","76,268",,"2,866",41
27,27,Philippines,"436,345",+934,"8,509 ",+63,"399,345",+148,"28,491","1,401","3,960",77
